מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
11,דמות,רבי יהודה החסיד (חסידי אשכנז),המאה ה-12–13,גרמניה (אשכנז),ראשונים,"מוסר, יראה, מיסטיקה ותפילה","ספר חסידים, חסידות אשכנז, קידוש השם, צוואת ר' יהודה החסיד",ממנהיגי חסידות אשכנז שהעמיד את טהרת הלב מעל חריפות השכל ושילב מוסר עם תפילה כתיקון עולמות; השפיע גם דרך 'צוואה' מעוררת מחלוקת.,"קדושה יומיומית: מסירות נפש כמצב תודעתי מתמשך – שליטה עצמית, אמת ודבקות.","חסידי אשכנז; הנודע ביהודה; החיד""א; הרב עובדיה יוסף (פסיקה על הצוואה)",https://open.spotify.com/episode/70SOBeANLpCEBeEplD3eOw
12,חכם,רבנו בחיי בן אשר,המאה ה-13–14,ספרד,ימי הביניים,"פרשנות, מוסר, קבלה","פירוש התורה, כד הקמח, שולחן של ארבע, פרד""ס","פרשן חדשני שהנגיש קבלה, מוסר ודרש בלשון בהירה לכלל ישראל, מפתח גישת הפרד""ס.","שילוב ארבעה רבדים בפירוש אחד שיטתי – פשט, רמז, דרש וסוד בלב הפרשנות.","הרמב""ן, רש""י, הזוהר",https://open.spotify.com/episode/3TickrNhU6vSQBo54LXxGf
13,חכם,"הר""ן (רבנו נסים מגירונה)",המאה ה-14,"ספרד, קטלוניה",שלהי ימי הביניים,"פסיקה, הגות, משפט עברי","דרשות הר""ן, משפט התורה, משפט המלך, המוות השחור","פוסק ומנהיג בעידן משבר, שילב רציונליות והגות תורנית מקורית, מייסד תפיסת משפט כפולה.",הבחנה בין משפט התורה האידיאלי לבין משפט המלך הפרגמטי לשמירה על סדר ציבורי.,"הרי""ף, הרמב""ם, רבי יוסף קארו",https://open.spotify.com/episode/2LuetW1C27UfICNkPhakAr
14,דמות,רבי שמעון לביא,המאה ה-16–17 (לא צוין בטקסט),טריפולי (לוב),ראשונים מאוחרים/צפת-צפון אפריקה,"קבלה, פיוט, הנהגה קהילתית","בר יוחאי, כתם פז, זוהר, לוב, מקובלים","מקובל, רופא ומשורר שפעל לבניין יהדות טריפולי; חיבר פירוש עמוק על הזוהר ופיוטים מרכזיים שהשתרשו בכלל ישראל.",פיוט כטקסט מיסטי-מעשי: טשטוש בין הקורא לגיבור ושותפות בחוויה של עליית השכינה.,"זוהר; מסורת צפון אפריקה; מחקר מודרני (אידל, ליבס)",https://open.spotify.com/episode/09sbxccxPcM8mqxUj6yDR4
15,אישיות,ר' אלעזר בירבי קליר,המאה ה־6–7 לספירה,ארץ ישראל (כנראה טבריה וסביבתה),עת העתיקה,פיוט ולשון,"פיוט קדום, חידושי לשון, תפילה, מדרש וסוד",,,,https://open.spotify.com/episode/32xvqy7PMQACaWnJsbqMlG?si=FWNMNn1aTqi2Q30dGOdW6w&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
16,נושא/מושג,"מהפכת הרמב""ם, תגובת ספרד ומורשת הרמ""א – הקרב על נשמתה של התורה",ימי הביניים–המאה ה־16,ספרד; אשכנז; קרקוב,ימי הביניים,מוסר והגות,"פילוסופיה, סדרי לימוד, הלכה, מטאפיזיקה, קבלה, עולם הישיבות, סמכות","דרמה אינטלקטואלית על מטרת לימוד התורה: הרמב""ם מציב את ההשגה המטאפיזית כפסגה, וחכמי ספרד מדגישים את מרכזיות הגמרא ולעיתים את הקבלה. הרמ""א מעצב מודל שבו לימוד הלכה ותלמוד הם עצמם התכלית ובכך מניח יסודות לעולם הישיבות. הפרק מצביע על השלכות לשאלת סמכות תורה שבעל-פה.",הוויכוח על תכלית התורה: הלכה כתכלית מול פילוסופיה/קבלה כפסגה – ועיצוב עולם הישיבות.,"הרמב""ם; הרשב""א; הריטב""א; הרמ""א; רש""י ורשב""ם",https://open.spotify.com/episode/4NKKrtI7AcK5wwQ0ejB7h1?si=jKMxNYqPRq6LQQm_5UMAbw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
17,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף אלבו,כ־1380–1444,ספרד,ימי הביניים המאוחרים,פילוסופיה יהודית/אמונה,"ספר העיקרים, ויכוח טורטוסה, עיקרים ושורשים",תלמיד קרשקש ונציג בוויכוח טורטוסה. זיקק את יסודות האמונה לשלושה עיקרים ובנה מבנה של שורשים וענפים.,גמישות תיאולוגית: הבחנה בין טעות לכפירה; אמונה כעמידות מוסרית; דגש על בחירה חופשית מול דטרמיניזם.,חסדאי קרשקש; הרמב״ם (השוואה),https://open.spotify.com/episode/3H710rBuEItb7at39hVzLn
18,"חכמי ישראל - הגות, הנהגה והלכה",רבי עובדיה מברטנורא (הרע״ב),כ־1445–1515,איטליה → ירושלים,ימי הביניים המאוחרים/ראשית העת החדשה,פירוש משנה/מנהיגות ארץ ישראל,"פירוש המשנה, עלייה לארץ, שיקום ירושלים, איגרות מסע",עלה לארץ במסע מפרך והנהיג את קהילת ירושלים הענייה תחת הממלוכים. ייסד מוסדות צדקה והחיה את היישוב היהודי.,שילוב קדושה ומעשה: פירוש משנה בהיר ומקיף לצד מהפכת הנהגה קהילתית שהכשירה קליטת גולי ספרד.,מהרי״ק; גולי ספרד; דפוס ונציה 1549,https://open.spotify.com/episode/2OEMGQeVLEIKytDCVSLS4c
19,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף חיון (רי״ח),מאה 15,"ליסבון, פורטוגל",ימי הביניים המאוחרים,פרשנות מקרא/תיאולוגיה,"תורה מן השמים, דיוק לשוני, ספר דברים, פרשנות סמנטית",מנהיג קהילת ליסבון ומורו של האברבנאל. פיתח פתרון לשאלת 'דברים מפי עצמו' ועיקרון שאין כפל עניין בתנ״ך.,"משה ניסח נאומים, אך ה׳ הכתיב לו מילה במילה בעת כתיבת התורה; כל מילה במקרא ייחודית ואין 'נרדפות' סתמית.",דון יצחק אברבנאל; קנפנטון; המלבי״ם (הקדמה רעיונית),https://open.spotify.com/episode/5J3m8GmCr0dbgQl0IyUyW6
20,,רב סעדיה גאון,882–942,,גאונים,"הלכה, פילוסופיה, לשון",,"ראש ישיבת סורא, לוחם בקראות, מחבר 'אמונות ודעות', מתרגם התורה לערבית (התפסיר), מייסד התיאולוגיה והפילוסופיה היהודית. ביסס את אחדות האומה והגותו השפיעה על הדורות.","שילוב אמונה ושכל, מסורת וחשיבה. תורה שבעל פה כיסוד לאחדות האומה, והגות רציונלית מעוגנת בהתגלות.","ראש הגולה דוד בן זכאי, קראים, אריסטו",https://open.spotify.com/episode/0Xx2IgT8rAGI5bDBi7qIZJ
21,טקסט יסוד,רב שרירא גאון – איגרת רב שרירא גאון,כ־906–1006,בבל (פומבדיתא) / קירואן,גאונים,היסטוריוגרפיה רבנית,"תושב""ע, תנאים/אמוראים/סבוראים/גאונים, סמכות, קראות","מסמך מכונן המסדר לראשונה רצף כרונולוגי של התורה שבעל-פה מן התנאים ועד הגאונים. מבהיר עריכת המשנה, חתימת התלמוד ותפקיד הסבוראים, ומעמיד תודעה היסטורית רבנית.",מסורת כסיפור היסטורי מוסמך: סמכות התורה שבעל‑פה נבנית גם דרך תיעוד מסירה וסדר דורות.,רב האי גאון; חכמי קירואן; פולמוס מול הקראות,https://open.spotify.com/episode/7f2XqM3393CxSX04yH8mpv?si=ix4nH6_sTRSmylMvrlQjMw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
22,דמות,רבנו גרשום מאור הגולה,כ־960–1040,אשכנז (מגנצא),ראשית ימי הביניים,"הלכה, הנהגה ציבורית, פיוט","חרם דרבנו גרשום, מונוגמיה, פרטיות, פיוט","מנהיג יהדות אשכנז, מחוקק חברתי ופייטן. הנהיג תקנות נועזות והקים מרכז תורני עצמאי באירופה.","תורה עם מוסר: הגנה על כבוד האישה, פרטיות האדם, אנושיות כלפי אנוסים.","רש""י, קהילות שו""ם",https://open.spotify.com/episode/6rxAHJOCR3W7MJnFSV86xT
23,אישיות,"מנחם בן סרוק (910–970) – מהפכת הלשון העברית: שורשים, דקדוק ופולמוס בספרד",910–970,ספרד המוסלמית (אל-אנדלוס),ימי הביניים המוקדמים,לשון,שורשים; מילון עברי; דקדוק; פולמוס לשוני,"מנחם בן סרוק כחלוץ הדקדוק העברי: חיבור 'מחברת', עיצוב שיטת השורשים והמשקלים, והוויכוח עם דונש בן לברט.",בירור העברית ככלי זהות וכבסיס להבנת המקרא ולבניית תרבות יהודית בספרד.,דונש בן לברט; סעדיה גאון; ראשית מדעי הלשון העבריים,https://spotifycreators-web.app.link/e/Y25n3OL4yQb
24,דמות,חסדאי אבן שפרוט,915–970,"קורדובה, ספרד",תור הזהב,"רפואה, דיפלומטיה, הנהגה","כוזרים, דיפלומטיה, שירה עברית, תרגום רפואה",יהודי מבריק שפעל בצמרת החצר המוסלמית בקורדובה. בנה עתיד רוחני ליהדות ספרד.,שילוב בין זהות יהודית והשפעה מדינית; הנהגה מתוך עולם כללי.,"רבי משה בן חנוך, מנחם בן סרוק, דונש בן לברט",https://open.spotify.com/episode/36w5041jUrEn5oPKATSVn1
25,"חכמי ישראל - הגות, הנהגה והלכה",רב האי גאון,939–1038,"פומבדיתא, בבל",תקופת הגאונים,הלכה/מנהיגות,"אין למדין מן האגדה, תשובות הגאונים, סיום תקופה","פוסק-על שאליו נשלחו שאלות מכל תפוצות ישראל. חיבר מאות תשובות, מונוגרפיות הלכתיות, מילון עברי-ארמי ופיוטים.",העמדת ההלכה כבסיס מחייב לצד אגדה כהשראה; יצירת גשר ספרותי לקראת ימי הראשונים והפיכת הבבלי ל'ספר החוקה'.,רב שרירא גאון; הרמב״ם; הרי״ף; ר״ן,https://open.spotify.com/episode/1crQJTeUeTRzuNWrBy5Xnw
26,דמות,רבי יונה אבן ג'נאח,990–1055,"קורדובה, סרגוסה",תור הזהב בספרד,"דקדוק עברי, פרשנות מקרא","שורשים, דקדוק, מקרא, רפואה",בנה את תשתית הדקדוק העברי. פליט שהפך לבלשן מוביל ומורה לעברית כתורה.,עברית מדויקת כהבנת דבר ה'. לימוד לשון הוא שליחות אמונית.,"רבי יהודה חיוג', שמואל הנגיד",https://open.spotify.com/episode/2ZySwZSy0mmYVgrpGXmiAa
27,"חכמי ישראל - הגות, הנהגה והלכה",רב שמואל בן חפני גאון (רשב״ה),997–1013 (ראש ישיבת סורא),בבל,תקופת הגאונים,הלכה/שיטה תורנית,"אין למדין מן האגדה, כתיבה שיטתית, ערבית-יהודית",מגדולי גאוני בבל. חיבר עשרות ספרים הלכתיים סדורים והדגיש שהאגדה הדרכה רעיונית אך אינה בסיס לפסיקה.,טיהור גבולות ההכרעה: הלכה כמחייבת; סינון תפיסות מאגיות והעמדת אמונה על שכל ישר ונאמנות למסורת.,רב האי גאון (מחלוקת בבית); הרמב״ם (השפעה),https://open.spotify.com/episode/5WkWoNLiebM2a8oFJMR0Ww
28,,"ר' יצחק בן אשר הלוי (ריב""א הראשון)",בערך 1040–1100,"שפיירא, אשכנז",ראשונים,"תלמוד, פסיקת הלכה, שיטת לימוד","בעלי התוספות, ראש ישיבה, דיאלקטיקה, מסחר, קדושה","תלמידו וחתנו של ר' אליקים, מראשי ישיבת שפיירא, מחולל שיטת בעלי התוספות, שילב מסורת צרפתית-גרמנית, עסק במסחר ופסיקות מורכבות בהלכה.","מהפכת הלימוד מבית מדרש לפרשנות דיאלקטית רחבה, יצירת גישה אנליטית ולוגית.","רש""י, ריב""ם, רבנו תם",https://open.spotify.com/episode/0Mz2W0BVeqiMBdoN55MrM3
29,,הרב אפרים מקלעת־חמאד,בערך 1050–1150,"צפון אפריקה, קלעת חמאד",גאונים–ראשונים,"הלכה, דקדוק, טקסט תלמודי","תלמיד הרי""ף, דקדוק, פרובנס, הערות שוליים","תלמיד חבר של הרי""ף, משפיע ע""י הערות שנבלעו בטקסטים הלכתיים, ראשון ליישם דקדוק ככלי פסיקתי.",דיוק לשוני ככלי להעמקה הלכתית.,"הרי""ף, ר' שלמה אבן פרחון",https://open.spotify.com/episode/5teJp1U9ghLdy4CXNAusRN
30,,רבי אפרים מקלעת־חמאד,1050–1150 (בקירוב),"קלעת חמאד, אלג'יר",ראשונים,"פסיקה, דקדוק, גאונים","תלמיד חבר לרי""ף, דקדוק אנדלוסי, מסורת גאונים","פוסק ובלשן שחלק מהגהותיו שולבו בטקסט של הרי""ף עצמו. יישם דקדוק עברי כמכשיר הלכתי.",דיוק לשוני כתשתית לפסיקה. שילוב גאונים עם פשטנות פילולוגית.,"רי""ף, שלמה אבן פרחון, הראב""ד, הרמב""ן",https://open.spotify.com/episode/5teJp1U9ghLdy4CXNAusRN
31,,רבי מאיר בן שמואל מרמרו,1060–1135,"אשכנז, רמרו",ראשונים,"תלמוד, פסיקה, פיוט","בעלי התוספות, רמז לתחילת שיטת התוספות, שינוי 'כל נדרי'","חתנו של רש""י ומורה דור בעלי התוספות. ייסד את הדיאלקטיקה התלמודית המערכתית בצפון צרפת.","ראה את הש""ס כיחידה אורגנית והניח את היסודות לתוספות. שינה את נוסח 'כל נדרי' תוך אחריות הלכתית.","רש""י, רבנו תם, הרשב""ם",https://open.spotify.com/episode/3112BV2vntKp6ZDRAWMYIe
32,דמות,רבי יוסף אבן מיגאש,1077–1141,ספרד,ימי הביניים,"הלכה, תלמוד","רי""ף, עיון, סמכות תלמודית, הרמב""ם","תלמיד הרי""ף וראש ישיבת לוסנה. הציב את התלמוד כסמכות עליונה, הניח יסוד לעיונו ההלכתי של הרמב""ם.",ביקורת אינטלקטואלית עצמאית כלפי מסורת; עיון מעמיק והבנה מעל קבלה עיוורת.,"רי""ף, הרמב""ם, רבי מימון",https://open.spotify.com/episode/4rAsgRTzQIOx4TeBSEabWs
33,אישיות,רבנו תם (ר׳ יעקב בן מאיר) – מהפכן השיטה התוספתית,1100–1171,צרפת (אשכנז),ראשונים,תלמוד ושיטה למדנית,"תוספות, שתי שקיעות, תפילין, תקנות, מסעות הצלב",נכדו של רש״י שבנה את שיטת בעלי התוספות: לא מוותרים על סתירות – מחברים סוגיות וגשרים. במקביל היה מנהיג קהילה בתקופת מסעי הצלב ותקן תקנות חברתיות.,"נאמנות קשוחה לנוסח הגמרא (“בספרים אל ימחק”) שמכריחה עומק, דיוק וחילוקים – ומייצרת לימוד יוצר.",בעלי התוספות; רש״י; מנהג זמן רבנו תם,https://open.spotify.com/episode/5u9zxyAssijvwzZnbKM7OQ?si=o5kksAmaQNiRkBHxN8CVpQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
34,אישיות,"רבי אברהם אבן דאוד (הראב""ד הראשון)",1110–1180,ספרד → טולדו,ימי הביניים,הגות/היסטוריה,"תורה שבעל פה, פולמוס קראי, פילוסופיה אריסטוטלית, מסירת דורות",,,,https://open.spotify.com/episode/7w1L1hQYnLtvaAWjCSIoud?si=dEz9V-NmSAiXCrVvP2TVEw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
35,"חכמי ישראל - הגות, הנהגה והלכה",רבנו חננאל בן חושיאל,מאה 11,קירואן (צפון אפריקה),תקופת הגאונים המאוחרת/ראשית הראשונים,פירוש תלמוד/פסיקה,"בהירות תלמוד, שיטתיות, שילוב ירושלמי בבבלי",גדול פוסקי קירואן והראשון שכתב פירוש שיטתי לתלמוד הבבלי. סיכם סוגיות בהירות והכשיר קרקע לרי״ף והרמב״ם.,"מיפוי ים הסוגיות למסילה הלכתית: תמצות, בירור נוסח, ושילוב שיטתי של הירושלמי להכרעה.",רבנו ניסים; הרי״ף; הרמב״ם,https://open.spotify.com/episode/580Us9ygui6IR3ypcVlNrx
36,,"ר' יצחק בן אשר הלוי (ריב""א הראשון)",המאה ה-11,"שפיירא, אשכנז",ראשונים,"לימוד תלמוד, בעלי התוספות","בעלי התוספות, ראשוני אשכנז, סוגיית ריבית, קבלה מעשית","מייסד שיטת הלימוד האנליטית של בעלי התוספות, חידש בגישתו הלמדנית תוך שילוב עולם המעשה והקדושה. נפטר ביום כיפור ונקרא 'הקדוש'.","הפך את הלימוד התלמודי לדיאלקטי ומערכתי – הקשה, חילק והשווה סוגיות. חידש במיוחד בדיני ריבית.","רש""י, ריב""ם, הראב""ן, מהר""ם מרוטנבורג",https://open.spotify.com/episode/0Mz2W0BVeqiMBdoN55MrM3
37,דמות,"רבנו בחיי בן פקודה (רלב""ח)",המאה ה-11,ספרד,ימי הביניים,"מוסר, פילוסופיה, פרשנות","חובות הלבבות, מוסר יהודי, פילוסופיה דתית","מחבר 'חובות הלבבות', חיבור מוסרי-תיאולוגי קלאסי שעסק בכוונה, אמונה, בטחון ותיקון מידות.",הבחנה בין חובות האיברים (מעשים) לחובות הלבבות (כוונה פנימית); מוסר כתשתית לאמונה שלמה.,"סעיד אלאנדלוסי, פילון האלכסנדרוני, ראשוני ספרד",https://open.spotify.com/episode/4i5VEmckhRP0N4Q1QGp5eC
38,נושא/מושג,"חכמי פרובנס – בין נרבון, בית דוד והמיסטיקה הראשונה: המרכז היהודי ששבר את המפה הרוחנית של ימי הביניים",המאות ה־11–13,פרובנס; נרבון; דרום צרפת,ימי הביניים,היסטוריה ותולדות,"הלכה ותלמוד, מפגש ספרד–אשכנז, נשיאות נרבון, קבלה מוקדמת, חסידות אשכנז, מוסדות","פרובנס מתוארת כמרחב מפגש בין הלכה ספרדית שיטתית לדיאלקטיקה אשכנזית-צרפתית, וכמוקד מדיני-תורני סביב נרבון והמסורת הנשיאותית. מתוך המתח הזה נולדת קבלה מוקדמת בסינתזה עם חסידות אשכנז. הפרק מציג כיצד מרכז אזורי קטן שינה את המפה הרוחנית של ימי הביניים והכין קרקע להתפתחויות מאוחרות.",מפגש מסורות כמנוע יצירה: סינתזה בין ספרד–אשכנז שמולידה מרכז הלכתי ומיסטי חדש.,"הראב""ד; הרז""ה; האחים הכהן; יצחק סגי נהור",https://open.spotify.com/episode/28wg8VCd8QFBLQiEa8y15f?si=ai8T1gHuSUulzXa6z02hwA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
39,אישיות,רבנו בחיי אבן פקודה – חובות הלבבות,המאה ה־11 (לא צוין בטקסט),ספרד המוסלמית,ימי הביניים,מוסר והגות,"חובות הלב, כוונה, פילוסופיה, אמונה, חסידות/מוסר","מחבר 'חובות הלבבות' מזהה משבר רוחני: דת של מעשה חיצוני בלי כוונה. מציע שיטה סדורה של עבודת הלב – אמונה, אהבה, יראה, ביטחון ומודעות פנימית.",הבחנה בין חובות האיברים לחובות הלב: המעשה חשוב – אבל הכוונה והאחריות הפנימית הן ליבת העבודה הדתית.,השפעה על תנועת המוסר ועל החסידות; דיאלוג עם מחשבה פילוסופית,https://open.spotify.com/episode/1qBD3kU3bmTNA8rWq0ezbD?si=bN7eR5kdS5qZ7TCI5dn5NA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
40,אישיות,"הראב""ד מפושקייר (בעל ההשגות)",1125–1198,פרובנס,ראשונים,הלכה,"השגות על הרמב""ם, סמכות מסירה, אמונה ותיאולוגיה, ראשית קבלה",,,,https://open.spotify.com/episode/3V6k0TH0ay1RxaO4bKeVXM?si=3apo-XzoRTir-Zx5fbYmQw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
41,דמות,"הרמב""ם",1138–1204,"ספרד, מצרים",ימי הביניים,"הלכה, פילוסופיה, רפואה","משנה תורה, מורה נבוכים, י""ג עיקרים, השכל","מהפכן כפול – סידר את ההלכה בבהירות וסיים את עידן התלמוד, ובו זמנית ניסח אמונה רציונלית דרך מורה נבוכים.","סדר, תבונה, עקרונות יסוד באמונה. התורה נבנית על דעת – ומובילה לגאולת היחיד והציבור.","הרמב""ן, רב האי גאון, אריסטו",https://open.spotify.com/episode/3SyvZ5qZe9Mjieu9Wf6pzA
42,אישיות,רבי יצחק סגי נהור,1160–1235,פרובנס,ימי הביניים,קבלה מוקדמת,"ספר יצירה, ספירות ואותיות, תורת הכוונות, גבולות כתיבת סוד",,,,https://open.spotify.com/episode/16NM4luayYQvcaoGO21kWg?si=c9XlKJwYQIelAKtxfRIUeg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
43,דמות,רבי יצחק מווינה (בעל האור זרוע),1180–1250,"אשכנז, אוסטריה",ימי הביניים,"תלמוד, פסיקה, חסידות אשכנז","אור זרוע, תלמוד ירושלמי, חסידות אשכנז, טקסטואליות","אחד מהפוסקים הגדולים של אשכנז, שכתב אנציקלופדיה תלמודית ופסיקתית עם שילוב מהפכני של בבלי וירושלמי.","עומק טקסטואלי, העזה פסיקתית ושילוב בין מסורת לחדשנות, בין קהילה לפרט.","המהר""ם מרוטנבורג, חסידי אשכנז, הרמב""ם",https://open.spotify.com/episode/7oMEYgzLDDMfqNduDgnyXR
44,חכם,"הרמב""ן (רבי משה בן נחמן)",1194–1270,"ספרד, ארץ ישראל",ימי הביניים,"פרשנות, הלכה, קבלה","ויכוח ברצלונה, פרשנות לתורה, תורת הסוד, עלייה לארץ","פוסק, פרשן ומקובל ששילב את כל רבדי התורה, חידש את יישוב ירושלים ועמד באומץ מול הכנסייה.","שילוב פשט, דרש, סוד ופרשנות קבלית – ראיית הטבע כסדרה של ניסים נסתרים.","הרמב""ם, בעלי התוספות, הר""ן",https://open.spotify.com/episode/3ZjAqfQEp21lw1GXKibFGq
