מזהה,סוג פרק,שם הדמות/הנושא,שנים/תקופה,אזור/מרחב,תקופה,תחום עיקרי,תגיות,תקציר (2–3 שורות),רעיון מרכזי/חידוש,דמויות/השפעות קשורות,קישור ספוטיפיי
11,חכם,"הר""ן (רבנו נסים מגירונה)",המאה ה-14,"ספרד, קטלוניה",שלהי ימי הביניים,"פסיקה, הגות, משפט עברי","דרשות הר""ן, משפט התורה, משפט המלך, המוות השחור","פוסק ומנהיג בעידן משבר, שילב רציונליות והגות תורנית מקורית, מייסד תפיסת משפט כפולה.",הבחנה בין משפט התורה האידיאלי לבין משפט המלך הפרגמטי לשמירה על סדר ציבורי.,"הרי""ף, הרמב""ם, רבי יוסף קארו",https://open.spotify.com/episode/2LuetW1C27UfICNkPhakAr?si=Rj0dtW4KRQWz2Xz0lyS2Sg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
12,דמות,רבי שמעון לביא,המאה ה-16–17 (לא צוין בטקסט),טריפולי (לוב),ראשונים מאוחרים/צפת-צפון אפריקה,"קבלה, פיוט, הנהגה קהילתית","בר יוחאי, כתם פז, זוהר, לוב, מקובלים","מקובל, רופא ומשורר שפעל לבניין יהדות טריפולי; חיבר פירוש עמוק על הזוהר ופיוטים מרכזיים שהשתרשו בכלל ישראל.",פיוט כטקסט מיסטי-מעשי: טשטוש בין הקורא לגיבור ושותפות בחוויה של עליית השכינה.,"זוהר; מסורת צפון אפריקה; מחקר מודרני (אידל, ליבס)",https://open.spotify.com/episode/09sbxccxPcM8mqxUj6yDR4?si=Xdf7WTTOTrGRnx8cafOzTw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
13,נושא/מושג,"מהפכת הרמב""ם, תגובת ספרד ומורשת הרמ""א – הקרב על נשמתה של התורה",ימי הביניים–המאה ה־16,ספרד; אשכנז; קרקוב,ימי הביניים,מוסר והגות,"פילוסופיה, סדרי לימוד, הלכה, מטאפיזיקה, קבלה, עולם הישיבות, סמכות","דרמה אינטלקטואלית על מטרת לימוד התורה: הרמב""ם מציב את ההשגה המטאפיזית כפסגה, וחכמי ספרד מדגישים את מרכזיות הגמרא ולעיתים את הקבלה. הרמ""א מעצב מודל שבו לימוד הלכה ותלמוד הם עצמם התכלית ובכך מניח יסודות לעולם הישיבות. הפרק מצביע על השלכות לשאלת סמכות תורה שבעל-פה.",הוויכוח על תכלית התורה: הלכה כתכלית מול פילוסופיה/קבלה כפסגה – ועיצוב עולם הישיבות.,"הרמב""ם; הרשב""א; הריטב""א; הרמ""א; רש""י ורשב""ם",https://open.spotify.com/episode/4NKKrtI7AcK5wwQ0ejB7h1?si=jKMxNYqPRq6LQQm_5UMAbw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
14,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף אלבו,כ־1380–1444,ספרד,ימי הביניים המאוחרים,פילוסופיה יהודית/אמונה,"ספר העיקרים, ויכוח טורטוסה, עיקרים ושורשים",תלמיד קרשקש ונציג בוויכוח טורטוסה. זיקק את יסודות האמונה לשלושה עיקרים ובנה מבנה של שורשים וענפים.,גמישות תיאולוגית: הבחנה בין טעות לכפירה; אמונה כעמידות מוסרית; דגש על בחירה חופשית מול דטרמיניזם.,חסדאי קרשקש; הרמב״ם (השוואה),https://open.spotify.com/episode/3H710rBuEItb7at39hVzLn?si=0NqIKBYNRW-1ouc7QXWTmA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
15,"חכמי ישראל - הגות, הנהגה והלכה",רבי עובדיה מברטנורא (הרע״ב),כ־1445–1515,איטליה → ירושלים,ימי הביניים המאוחרים/ראשית העת החדשה,פירוש משנה/מנהיגות ארץ ישראל,"פירוש המשנה, עלייה לארץ, שיקום ירושלים, איגרות מסע",עלה לארץ במסע מפרך והנהיג את קהילת ירושלים הענייה תחת הממלוכים. ייסד מוסדות צדקה והחיה את היישוב היהודי.,שילוב קדושה ומעשה: פירוש משנה בהיר ומקיף לצד מהפכת הנהגה קהילתית שהכשירה קליטת גולי ספרד.,מהרי״ק; גולי ספרד; דפוס ונציה 1549,https://open.spotify.com/episode/2OEMGQeVLEIKytDCVSLS4c?si=chKodDJITYOZaqhqfu641A&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
16,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף חיון (רי״ח),מאה 15,"ליסבון, פורטוגל",ימי הביניים המאוחרים,פרשנות מקרא/תיאולוגיה,"תורה מן השמים, דיוק לשוני, ספר דברים, פרשנות סמנטית",מנהיג קהילת ליסבון ומורו של האברבנאל. פיתח פתרון לשאלת 'דברים מפי עצמו' ועיקרון שאין כפל עניין בתנ״ך.,"משה ניסח נאומים, אך ה׳ הכתיב לו מילה במילה בעת כתיבת התורה; כל מילה במקרא ייחודית ואין 'נרדפות' סתמית.",דון יצחק אברבנאל; קנפנטון; המלבי״ם (הקדמה רעיונית),https://open.spotify.com/episode/5J3m8GmCr0dbgQl0IyUyW6?si=1IGep-qsTTqUU5n38FGXHQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
17,דמות,רבנו גרשום מאור הגולה,כ־960–1040,אשכנז (מגנצא),ראשית ימי הביניים,"הלכה, הנהגה ציבורית, פיוט","חרם דרבנו גרשום, מונוגמיה, פרטיות, פיוט","מנהיג יהדות אשכנז, מחוקק חברתי ופייטן. הנהיג תקנות נועזות והקים מרכז תורני עצמאי באירופה.","תורה עם מוסר: הגנה על כבוד האישה, פרטיות האדם, אנושיות כלפי אנוסים.","רש""י, קהילות שו""ם",https://open.spotify.com/episode/6rxAHJOCR3W7MJnFSV86xT?si=H9fHo49NSeWQatNizV_1Qg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
18,אישיות,"מנחם בן סרוק (910–970) – מהפכת הלשון העברית: שורשים, דקדוק ופולמוס בספרד",910–970,ספרד המוסלמית (אל-אנדלוס),ימי הביניים המוקדמים,לשון,שורשים; מילון עברי; דקדוק; פולמוס לשוני,"מנחם בן סרוק כחלוץ הדקדוק העברי: חיבור 'מחברת', עיצוב שיטת השורשים והמשקלים, והוויכוח עם דונש בן לברט.",בירור העברית ככלי זהות וכבסיס להבנת המקרא ולבניית תרבות יהודית בספרד.,דונש בן לברט; סעדיה גאון; ראשית מדעי הלשון העבריים,https://open.spotify.com/episode/1aatpLWRTj8Ez9CCPESBsJ?si=qPWDX3cFQX-c4krDHndhLg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
19,דמות,חסדאי אבן שפרוט,915–970,"קורדובה, ספרד",תור הזהב,"רפואה, דיפלומטיה, הנהגה","כוזרים, דיפלומטיה, שירה עברית, תרגום רפואה",יהודי מבריק שפעל בצמרת החצר המוסלמית בקורדובה. בנה עתיד רוחני ליהדות ספרד.,שילוב בין זהות יהודית והשפעה מדינית; הנהגה מתוך עולם כללי.,"רבי משה בן חנוך, מנחם בן סרוק, דונש בן לברט",https://open.spotify.com/episode/36w5041jUrEn5oPKATSVn1?si=MbuFoj6dTAmp2tr1kvWhKQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
20,"חכמי ישראל - הגות, הנהגה והלכה",רב האי גאון,939–1038,"פומבדיתא, בבל",תקופת הגאונים,הלכה/מנהיגות,"אין למדין מן האגדה, תשובות הגאונים, סיום תקופה","פוסק-על שאליו נשלחו שאלות מכל תפוצות ישראל. חיבר מאות תשובות, מונוגרפיות הלכתיות, מילון עברי-ארמי ופיוטים.",העמדת ההלכה כבסיס מחייב לצד אגדה כהשראה; יצירת גשר ספרותי לקראת ימי הראשונים והפיכת הבבלי ל'ספר החוקה'.,רב שרירא גאון; הרמב״ם; הרי״ף; ר״ן,https://open.spotify.com/episode/1crQJTeUeTRzuNWrBy5Xnw?si=ppjBOgTPRIyTSI6012GT2g&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
21,דמות,רבי יונה אבן ג'נאח,990–1055,"קורדובה, סרגוסה",תור הזהב בספרד,"דקדוק עברי, פרשנות מקרא","שורשים, דקדוק, מקרא, רפואה",בנה את תשתית הדקדוק העברי. פליט שהפך לבלשן מוביל ומורה לעברית כתורה.,עברית מדויקת כהבנת דבר ה'. לימוד לשון הוא שליחות אמונית.,"רבי יהודה חיוג', שמואל הנגיד",https://open.spotify.com/episode/2ZySwZSy0mmYVgrpGXmiAa?si=UXmixqclQw-5piyftOolMg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
22,"חכמי ישראל - הגות, הנהגה והלכה",רב שמואל בן חפני גאון (רשב״ה),997–1013 (ראש ישיבת סורא),בבל,תקופת הגאונים,הלכה/שיטה תורנית,"אין למדין מן האגדה, כתיבה שיטתית, ערבית-יהודית",מגדולי גאוני בבל. חיבר עשרות ספרים הלכתיים סדורים והדגיש שהאגדה הדרכה רעיונית אך אינה בסיס לפסיקה.,טיהור גבולות ההכרעה: הלכה כמחייבת; סינון תפיסות מאגיות והעמדת אמונה על שכל ישר ונאמנות למסורת.,רב האי גאון (מחלוקת בבית); הרמב״ם (השפעה),https://open.spotify.com/episode/5WkWoNLiebM2a8oFJMR0Ww?si=sthu_CbIRlWVxdXI0vQuKQ
23,דמות,רבי יוסף אבן מיגאש,1077–1141,ספרד,ימי הביניים,"הלכה, תלמוד","רי""ף, עיון, סמכות תלמודית, הרמב""ם","תלמיד הרי""ף וראש ישיבת לוסנה. הציב את התלמוד כסמכות עליונה, הניח יסוד לעיונו ההלכתי של הרמב""ם.",ביקורת אינטלקטואלית עצמאית כלפי מסורת; עיון מעמיק והבנה מעל קבלה עיוורת.,"רי""ף, הרמב""ם, רבי מימון",https://open.spotify.com/episode/4rAsgRTzQIOx4TeBSEabWs?si=GfRHvQhxR0S1BlCRAeCsRA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
24,אישיות,רבנו תם (ר׳ יעקב בן מאיר) – מהפכן השיטה התוספתית,1100–1171,צרפת (אשכנז),ראשונים,תלמוד ושיטה למדנית,"תוספות, שתי שקיעות, תפילין, תקנות, מסעות הצלב",נכדו של רש״י שבנה את שיטת בעלי התוספות: לא מוותרים על סתירות – מחברים סוגיות וגשרים. במקביל היה מנהיג קהילה בתקופת מסעי הצלב ותקן תקנות חברתיות.,"נאמנות קשוחה לנוסח הגמרא (“בספרים אל ימחק”) שמכריחה עומק, דיוק וחילוקים – ומייצרת לימוד יוצר.",בעלי התוספות; רש״י; מנהג זמן רבנו תם,https://open.spotify.com/episode/5u9zxyAssijvwzZnbKM7OQ?si=o5kksAmaQNiRkBHxN8CVpQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
25,אישיות,"רבי אברהם אבן דאוד (הראב""ד הראשון)",1110–1180,ספרד → טולדו,ימי הביניים,הגות/היסטוריה,"תורה שבעל פה, פולמוס קראי, פילוסופיה אריסטוטלית, מסירת דורות",,,,https://open.spotify.com/episode/7w1L1hQYnLtvaAWjCSIoud?si=dEz9V-NmSAiXCrVvP2TVEw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
26,"חכמי ישראל - הגות, הנהגה והלכה",רבנו חננאל בן חושיאל,מאה 11,קירואן (צפון אפריקה),תקופת הגאונים המאוחרת/ראשית הראשונים,פירוש תלמוד/פסיקה,"בהירות תלמוד, שיטתיות, שילוב ירושלמי בבבלי",גדול פוסקי קירואן והראשון שכתב פירוש שיטתי לתלמוד הבבלי. סיכם סוגיות בהירות והכשיר קרקע לרי״ף והרמב״ם.,"מיפוי ים הסוגיות למסילה הלכתית: תמצות, בירור נוסח, ושילוב שיטתי של הירושלמי להכרעה.",רבנו ניסים; הרי״ף; הרמב״ם,https://open.spotify.com/episode/580Us9ygui6IR3ypcVlNrx?si=CXbbk-zsTe2qpBK4ZwXvGA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
27,דמות,"רבנו בחיי בן פקודה (רלב""ח)",המאה ה-11,ספרד,ימי הביניים,"מוסר, פילוסופיה, פרשנות","חובות הלבבות, מוסר יהודי, פילוסופיה דתית","מחבר 'חובות הלבבות', חיבור מוסרי-תיאולוגי קלאסי שעסק בכוונה, אמונה, בטחון ותיקון מידות.",הבחנה בין חובות האיברים (מעשים) לחובות הלבבות (כוונה פנימית); מוסר כתשתית לאמונה שלמה.,"סעיד אלאנדלוסי, פילון האלכסנדרוני, ראשוני ספרד",https://open.spotify.com/episode/1qBD3kU3bmTNA8rWq0ezbD?si=bN7eR5kdS5qZ7TCI5dn5NA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
28,נושא/מושג,"חכמי פרובנס – בין נרבון, בית דוד והמיסטיקה הראשונה: המרכז היהודי ששבר את המפה הרוחנית של ימי הביניים",המאות ה־11–13,פרובנס; נרבון; דרום צרפת,ימי הביניים,היסטוריה ותולדות,"הלכה ותלמוד, מפגש ספרד–אשכנז, נשיאות נרבון, קבלה מוקדמת, חסידות אשכנז, מוסדות","פרובנס מתוארת כמרחב מפגש בין הלכה ספרדית שיטתית לדיאלקטיקה אשכנזית-צרפתית, וכמוקד מדיני-תורני סביב נרבון והמסורת הנשיאותית. מתוך המתח הזה נולדת קבלה מוקדמת בסינתזה עם חסידות אשכנז. הפרק מציג כיצד מרכז אזורי קטן שינה את המפה הרוחנית של ימי הביניים והכין קרקע להתפתחויות מאוחרות.",מפגש מסורות כמנוע יצירה: סינתזה בין ספרד–אשכנז שמולידה מרכז הלכתי ומיסטי חדש.,"הראב""ד; הרז""ה; האחים הכהן; יצחק סגי נהור",https://open.spotify.com/episode/28wg8VCd8QFBLQiEa8y15f?si=ai8T1gHuSUulzXa6z02hwA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
29,אישיות,רבנו בחיי אבן פקודה – חובות הלבבות,המאה ה־11 (לא צוין בטקסט),ספרד המוסלמית,ימי הביניים,מוסר והגות,"חובות הלב, כוונה, פילוסופיה, אמונה, חסידות/מוסר","מחבר 'חובות הלבבות' מזהה משבר רוחני: דת של מעשה חיצוני בלי כוונה. מציע שיטה סדורה של עבודת הלב – אמונה, אהבה, יראה, ביטחון ומודעות פנימית.",הבחנה בין חובות האיברים לחובות הלב: המעשה חשוב – אבל הכוונה והאחריות הפנימית הן ליבת העבודה הדתית.,השפעה על תנועת המוסר ועל החסידות; דיאלוג עם מחשבה פילוסופית,https://open.spotify.com/episode/1qBD3kU3bmTNA8rWq0ezbD?si=bN7eR5kdS5qZ7TCI5dn5NA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
30,דמות,"הרמב""ם",1138–1204,"ספרד, מצרים",ימי הביניים,"הלכה, פילוסופיה, רפואה","משנה תורה, מורה נבוכים, י""ג עיקרים, השכל","מהפכן כפול – סידר את ההלכה בבהירות וסיים את עידן התלמוד, ובו זמנית ניסח אמונה רציונלית דרך מורה נבוכים.","סדר, תבונה, עקרונות יסוד באמונה. התורה נבנית על דעת – ומובילה לגאולת היחיד והציבור.","הרמב""ן, רב האי גאון, אריסטו",https://open.spotify.com/episode/3SyvZ5qZe9Mjieu9Wf6pzA?si=_lXCTTbETvq-J9ZQgwSsUw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
31,אישיות,רבי יצחק סגי נהור,1160–1235,פרובנס,ימי הביניים,קבלה מוקדמת,"ספר יצירה, ספירות ואותיות, תורת הכוונות, גבולות כתיבת סוד",,,,https://open.spotify.com/episode/16NM4luayYQvcaoGO21kWg?si=c9XlKJwYQIelAKtxfRIUeg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
32,דמות,רבי יצחק מווינה (בעל האור זרוע),1180–1250,"אשכנז, אוסטריה",ימי הביניים,"תלמוד, פסיקה, חסידות אשכנז","אור זרוע, תלמוד ירושלמי, חסידות אשכנז, טקסטואליות","אחד מהפוסקים הגדולים של אשכנז, שכתב אנציקלופדיה תלמודית ופסיקתית עם שילוב מהפכני של בבלי וירושלמי.","עומק טקסטואלי, העזה פסיקתית ושילוב בין מסורת לחדשנות, בין קהילה לפרט.","המהר""ם מרוטנבורג, חסידי אשכנז, הרמב""ם",https://open.spotify.com/episode/7oMEYgzLDDMfqNduDgnyXR?si=MeN4kSbhSE28jUawX4A5yg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
33,חכם,"הרמב""ן (רבי משה בן נחמן)",1194–1270,"ספרד, ארץ ישראל",ימי הביניים,"פרשנות, הלכה, קבלה","ויכוח ברצלונה, פרשנות לתורה, תורת הסוד, עלייה לארץ","פוסק, פרשן ומקובל ששילב את כל רבדי התורה, חידש את יישוב ירושלים ועמד באומץ מול הכנסייה.","שילוב פשט, דרש, סוד ופרשנות קבלית – ראיית הטבע כסדרה של ניסים נסתרים.","הרמב""ם, בעלי התוספות, הר""ן",https://open.spotify.com/episode/3ZjAqfQEp21lw1GXKibFGq?si=YJZ3ch4eSwyHsKpI5MnDUw&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
34,"חכמי ישראל - הגות, הנהגה והלכה",רבי יוסף בכור שור,מאה 12,"אורליאן, צרפת",ימי הביניים,פרשנות מקרא/פולמוס,"פשט, פולמוס נוצרי, פסיכולוגיה של המקרא",תלמיד רבנו תם. פירוש לתורה בפשט מדויק ומתנגד לאלגוריה. שילב קריאה אנושית-פסיכולוגית ופולמוס עם הנצרות.,צמצום ניסים והעדפת הסבר טבעי; 'סיפורים כפולים' כתיאור דו-זוויתי; הגנה חדה על פשט יהודי מול אלגוריה נוצרית.,רש״י; רשב״ם; חזקוני; דעת זקנים,https://open.spotify.com/episode/6gxbZoolueHckeaIeU0qC4?si=xt72_2GJSQaOWjm-m_V9Jg&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
35,דמות,רבי זרחיה הלוי (בעל המאור),המאה ה-12,פרובנס/גירונה,ראשונים,"תלמוד והלכה, מתודולוגיה","ספר המאור, הרי""ף, הראב""ד, הרמב""ן, ביקורת נוסח, פיוט","מחבר 'ספר המאור' שחידש דיון עצמאי בסוגיות הרי""ף והעמיד דגם של יושר תורני וביקורת טקסטואלית; עורר פולמוס מול הראב""ד וזכה להכרה מהרמב""ן.",חתירה לאמת המולידה עיון ביקורתי נאמן למסורת – לא קבלה עיוורת.,"הרי""ף; הראב""ד; הרמב""ן; בעלי התוספות; תרבות פרובנס",https://open.spotify.com/episode/1Oey4Q7UY5P9TmSReEIy5e?si=mdXUHy9yRk6AjBZ5VpC4dA&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
36,דמות,"המהר""ם מרוטנבורג",1220–1293,אשכנז,ימי הביניים,"הלכה, הנהגה, פסיקה","שבויים, פסקי מהר""ם, רדיפות, אחריות ציבורית","פוסק עליון וראש קהילות אשכנז, שוויתר על חייו כדי לא לסכן את הציבור. פסיקתו עיצבה דורות של הלכה אשכנזית.","אחריות הלכתית שאינה חוששת מהקרבה אישית. פסיקה מתוך עקרונות יסוד, גם במחיר אישי קשה.","הרא""ש, המרדכי, תלמידי מהר""ם",https://open.spotify.com/episode/2KEK5HHxNXY0mD1HV36wrn?si=tvTDPyo5RDqK7veu2i3o-A&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
37,אישיות,"בנימין מטודלה – העד הנאמן של ישראל בגלות, שגילה את העולם היהודי במאה ה־12",המאה ה־12,ספרד; ביזנטיון; בבל; ארץ ישראל; צפון אפריקה,ראשונים,היסטוריה ותולדות,"ספר המסעות, קהילות, היסטוריה של הגלות, מסחר, ראש הגולה, צלבנים","בנימין מטודלה תיעד במסעו קהילות יהודיות, מספרים ומעמד חברתי-מדיני, ובכך שרטט מפת גלות נדירה. תיאוריו מצביעים על פערים בין שגשוג תחת שלטון מוסלמי לבין דיכוי תחת שלטון נוצרי, ומשלבים מידע מסחרי עם מסורות עממיות. הספר נעשה מקור מרכזי לתולדות ישראל בימי הביניים למרות יד עורך וסיפורי אגדה.",מיפוי הגלות כאתוס: תיעוד קהילות יהודיות כבסיס לזיכרון היסטורי ולתודעת אחדות ישראל.,ראש הגולה בבגדאד; ביזנטיון; צלבנים,https://open.spotify.com/episode/6uPNMCDmtJeamUc81SVz8X?si=hq1vgxJiTtWawhKuv44zAQ&context=spotify%3Ashow%3A4nrvg1RLAoxg9C0vVYM8qv
